Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,067108,1995,11,24.2,Y
IDCJAC0002,067108,1995,12,25.4,Y
IDCJAC0002,067108,1996,01,26.9,Y
IDCJAC0002,067108,1996,02,26.8,Y
IDCJAC0002,067108,1996,03,26.2,Y
IDCJAC0002,067108,1996,04,24.6,Y
IDCJAC0002,067108,1996,05,20.8,Y
IDCJAC0002,067108,1996,06,18.0,Y
IDCJAC0002,067108,1996,07,16.9,Y
IDCJAC0002,067108,1996,08,18.2,Y
IDCJAC0002,067108,1996,09,22.8,Y
IDCJAC0002,067108,1996,10,23.8,Y
IDCJAC0002,067108,1996,11,25.1,Y
IDCJAC0002,067108,1996,12,28.1,Y
IDCJAC0002,067108,1997,01,26.9,Y
IDCJAC0002,067108,1997,02,28.3,Y
IDCJAC0002,067108,1997,03,27.0,Y
IDCJAC0002,067108,1997,04,25.5,Y
IDCJAC0002,067108,1997,05,20.4,Y
IDCJAC0002,067108,1997,06,17.9,Y
IDCJAC0002,067108,1997,07,17.1,Y
IDCJAC0002,067108,1997,08,20.0,Y
IDCJAC0002,067108,1997,09,20.6,Y
IDCJAC0002,067108,1997,10,26.0,Y
IDCJAC0002,067108,1997,11,28.9,Y
IDCJAC0002,067108,1997,12,30.9,Y
IDCJAC0002,067108,1998,01,30.5,Y
IDCJAC0002,067108,1998,02,31.2,Y
IDCJAC0002,067108,1998,03,29.6,Y
IDCJAC0002,067108,1998,04,24.4,Y
IDCJAC0002,067108,1998,05,19.7,Y
IDCJAC0002,067108,1998,06,17.1,Y
IDCJAC0002,067108,1998,07,15.4,Y
IDCJAC0002,067108,1998,08,17.1,Y
IDCJAC0002,067108,1998,09,22.1,Y
IDCJAC0002,067108,1998,10,24.3,Y
IDCJAC0002,067108,1998,11,22.1,Y
IDCJAC0002,067108,1998,12,28.3,Y
IDCJAC0002,067108,1999,01,30.8,Y
IDCJAC0002,067108,1999,02,26.6,Y
IDCJAC0002,067108,1999,03,26.6,Y
IDCJAC0002,067108,1999,04,22.5,Y
IDCJAC0002,067108,1999,05,21.8,Y
IDCJAC0002,067108,1999,06,17.9,Y
IDCJAC0002,067108,1999,07,17.6,Y
IDCJAC0002,067108,1999,08,19.1,Y
IDCJAC0002,067108,1999,09,21.8,Y
IDCJAC0002,067108,1999,10,23.2,Y
IDCJAC0002,067108,1999,11,23.5,Y
IDCJAC0002,067108,1999,12,26.4,Y
IDCJAC0002,067108,2000,01,26.8,Y
IDCJAC0002,067108,2000,02,31.0,Y
IDCJAC0002,067108,2000,03,26.6,Y
IDCJAC0002,067108,2000,04,23.0,Y
IDCJAC0002,067108,2000,05,19.4,Y
IDCJAC0002,067108,2000,06,16.8,Y
IDCJAC0002,067108,2000,07,17.8,Y
IDCJAC0002,067108,2000,08,18.9,Y
IDCJAC0002,067108,2000,09,24.4,Y
IDCJAC0002,067108,2000,10,24.0,Y
IDCJAC0002,067108,2000,11,24.6,Y
IDCJAC0002,067108,2000,12,29.3,Y
IDCJAC0002,067108,2001,01,31.2,Y
IDCJAC0002,067108,2001,02,28.5,Y
IDCJAC0002,067108,2001,03,25.3,Y
IDCJAC0002,067108,2001,04,24.6,Y
IDCJAC0002,067108,2001,05,19.9,Y
IDCJAC0002,067108,2001,06,19.2,Y
IDCJAC0002,067108,2001,07,17.2,Y
IDCJAC0002,067108,2001,08,19.3,Y
IDCJAC0002,067108,2001,09,23.1,Y
IDCJAC0002,067108,2001,10,24.7,Y
IDCJAC0002,067108,2001,11,25.6,Y
IDCJAC0002,067108,2001,12,29.4,Y
IDCJAC0002,067108,2002,01,29.9,Y
IDCJAC0002,067108,2002,02,26.1,Y
IDCJAC0002,067108,2002,03,26.2,Y
IDCJAC0002,067108,2002,04,24.7,Y
IDCJAC0002,067108,2002,05,19.8,Y
IDCJAC0002,067108,2002,06,18.1,Y
IDCJAC0002,067108,2002,07,18.1,Y
IDCJAC0002,067108,2002,08,20.0,Y
IDCJAC0002,067108,2002,09,24.3,Y
IDCJAC0002,067108,2002,10,27.2,Y
IDCJAC0002,067108,2002,11,29.4,Y
IDCJAC0002,067108,2002,12,29.3,Y
IDCJAC0002,067108,2003,01,31.2,Y
IDCJAC0002,067108,2003,02,28.7,Y
IDCJAC0002,067108,2003,03,25.5,Y
IDCJAC0002,067108,2003,04,23.0,Y
IDCJAC0002,067108,2003,05,20.2,Y
IDCJAC0002,067108,2003,06,18.5,Y
IDCJAC0002,067108,2003,07,16.8,Y
IDCJAC0002,067108,2003,08,18.6,Y
IDCJAC0002,067108,2003,09,22.1,Y
IDCJAC0002,067108,2003,10,22.1,Y
IDCJAC0002,067108,2003,11,25.5,Y
IDCJAC0002,067108,2003,12,27.4,Y
IDCJAC0002,067108,2004,01,31.2,Y
IDCJAC0002,067108,2004,02,31.2,Y
IDCJAC0002,067108,2004,03,26.9,Y
IDCJAC0002,067108,2004,04,24.5,Y
IDCJAC0002,067108,2004,05,20.9,Y
IDCJAC0002,067108,2004,06,19.4,Y
IDCJAC0002,067108,2004,07,17.6,Y
IDCJAC0002,067108,2004,08,19.8,Y
IDCJAC0002,067108,2004,09,22.7,Y
IDCJAC0002,067108,2004,10,24.1,Y
IDCJAC0002,067108,2004,11,26.1,Y
IDCJAC0002,067108,2004,12,27.2,Y
IDCJAC0002,067108,2005,01,29.6,Y
IDCJAC0002,067108,2005,02,28.6,Y
IDCJAC0002,067108,2005,03,25.3,Y
IDCJAC0002,067108,2005,04,26.0,Y
IDCJAC0002,067108,2005,05,21.3,Y
IDCJAC0002,067108,2005,06,18.9,Y
IDCJAC0002,067108,2005,07,18.8,Y
IDCJAC0002,067108,2005,08,20.1,Y
IDCJAC0002,067108,2005,09,21.7,Y
IDCJAC0002,067108,2005,10,25.5,Y
IDCJAC0002,067108,2005,11,25.4,Y
IDCJAC0002,067108,2005,12,31.2,Y
IDCJAC0002,067108,2006,01,28.8,Y
IDCJAC0002,067108,2006,02,30.4,Y
IDCJAC0002,067108,2006,03,27.8,Y
IDCJAC0002,067108,2006,04,25.0,Y
IDCJAC0002,067108,2006,05,21.1,Y
IDCJAC0002,067108,2006,06,16.8,Y
IDCJAC0002,067108,2006,07,17.7,Y
IDCJAC0002,067108,2006,08,20.0,Y
IDCJAC0002,067108,2006,09,23.7,Y
IDCJAC0002,067108,2006,10,26.0,Y
IDCJAC0002,067108,2006,11,28.2,Y
IDCJAC0002,067108,2006,12,28.0,Y
IDCJAC0002,067108,2007,01,31.3,Y
IDCJAC0002,067108,2007,02,28.6,Y
IDCJAC0002,067108,2007,03,26.3,Y
IDCJAC0002,067108,2007,04,23.6,Y
IDCJAC0002,067108,2007,05,22.3,Y
IDCJAC0002,067108,2007,06,16.2,Y
IDCJAC0002,067108,2007,07,16.6,Y
IDCJAC0002,067108,2007,08,19.8,Y
IDCJAC0002,067108,2007,09,21.4,Y
IDCJAC0002,067108,2007,10,27.2,Y
IDCJAC0002,067108,2007,11,25.4,Y
IDCJAC0002,067108,2007,12,26.0,Y
IDCJAC0002,067108,2008,01,28.4,Y
IDCJAC0002,067108,2008,02,25.4,Y
IDCJAC0002,067108,2008,03,26.5,Y
IDCJAC0002,067108,2008,04,21.4,Y
IDCJAC0002,067108,2008,05,20.7,Y
IDCJAC0002,067108,2008,06,18.3,Y
IDCJAC0002,067108,2008,07,16.8,Y
IDCJAC0002,067108,2008,08,17.7,Y
IDCJAC0002,067108,2008,09,22.5,Y
IDCJAC0002,067108,2008,10,25.2,Y
IDCJAC0002,067108,2008,11,25.6,Y
IDCJAC0002,067108,2008,12,28.2,Y
IDCJAC0002,067108,2009,01,32.8,Y
IDCJAC0002,067108,2009,02,28.7,Y
IDCJAC0002,067108,2009,03,27.1,Y
IDCJAC0002,067108,2009,04,22.4,Y
IDCJAC0002,067108,2009,05,20.4,Y
IDCJAC0002,067108,2009,06,17.5,Y
IDCJAC0002,067108,2009,07,17.7,Y
IDCJAC0002,067108,2009,08,21.1,Y
IDCJAC0002,067108,2009,09,23.5,Y
IDCJAC0002,067108,2009,10,22.9,Y
IDCJAC0002,067108,2009,11,30.1,Y
IDCJAC0002,067108,2009,12,29.7,Y
IDCJAC0002,067108,2010,01,31.2,Y
IDCJAC0002,067108,2010,02,28.9,Y
IDCJAC0002,067108,2010,03,27.2,Y
IDCJAC0002,067108,2010,04,25.2,Y
IDCJAC0002,067108,2010,05,20.7,Y
IDCJAC0002,067108,2010,06,17.6,Y
IDCJAC0002,067108,2010,07,16.7,Y
IDCJAC0002,067108,2010,08,17.9,Y
IDCJAC0002,067108,2010,09,21.2,Y
IDCJAC0002,067108,2010,10,22.6,Y
IDCJAC0002,067108,2010,11,25.1,Y
IDCJAC0002,067108,2010,12,27.1,Y
IDCJAC0002,067108,2011,01,30.3,Y
