Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0002,067108,1995,null,null,null,null,null,null,null,null,null,null,24.2,25.4,null
IDCJAC0002,067108,1996,26.9,26.8,26.2,24.6,20.8,18.0,16.9,18.2,22.8,23.8,25.1,28.1,23.2
IDCJAC0002,067108,1997,26.9,28.3,27.0,25.5,20.4,17.9,17.1,20.0,20.6,26.0,28.9,30.9,24.1
IDCJAC0002,067108,1998,30.5,31.2,29.6,24.4,19.7,17.1,15.4,17.1,22.1,24.3,22.1,28.3,23.5
IDCJAC0002,067108,1999,30.8,26.6,26.6,22.5,21.8,17.9,17.6,19.1,21.8,23.2,23.5,26.4,23.2
IDCJAC0002,067108,2000,26.8,31.0,26.6,23.0,19.4,16.8,17.8,18.9,24.4,24.0,24.6,29.3,23.6
IDCJAC0002,067108,2001,31.2,28.5,25.3,24.6,19.9,19.2,17.2,19.3,23.1,24.7,25.6,29.4,24.0
IDCJAC0002,067108,2002,29.9,26.1,26.2,24.7,19.8,18.1,18.1,20.0,24.3,27.2,29.4,29.3,24.4
IDCJAC0002,067108,2003,31.2,28.7,25.5,23.0,20.2,18.5,16.8,18.6,22.1,22.1,25.5,27.4,23.3
IDCJAC0002,067108,2004,31.2,31.2,26.9,24.5,20.9,19.4,17.6,19.8,22.7,24.1,26.1,27.2,24.3
IDCJAC0002,067108,2005,29.6,28.6,25.3,26.0,21.3,18.9,18.8,20.1,21.7,25.5,25.4,31.2,24.4
IDCJAC0002,067108,2006,28.8,30.4,27.8,25.0,21.1,16.8,17.7,20.0,23.7,26.0,28.2,28.0,24.5
IDCJAC0002,067108,2007,31.3,28.6,26.3,23.6,22.3,16.2,16.6,19.8,21.4,27.2,25.4,26.0,23.7
IDCJAC0002,067108,2008,28.4,25.4,26.5,21.4,20.7,18.3,16.8,17.7,22.5,25.2,25.6,28.2,23.1
IDCJAC0002,067108,2009,32.8,28.7,27.1,22.4,20.4,17.5,17.7,21.1,23.5,22.9,30.1,29.7,24.5
IDCJAC0002,067108,2010,31.2,28.9,27.2,25.2,20.7,17.6,16.7,17.9,21.2,22.6,25.1,27.1,23.4
IDCJAC0002,067108,2011,30.3,31.1,27.7,22.7,19.7,17.5,16.8,19.4,22.1,22.9,27.5,23.7,23.5
IDCJAC0002,067108,2012,27.7,26.5,25.0,23.6,20.3,16.8,16.9,19.7,23.7,25.5,26.7,28.9,23.4
IDCJAC0002,067108,2013,31.2,27.5,27.4,24.0,20.3,16.9,18.1,20.6,25.3,27.5,26.2,29.6,24.6
IDCJAC0002,067108,2014,30.6,28.1,26.8,23.7,22.2,18.4,18.3,18.1,21.7,26.5,29.0,28.5,24.3
IDCJAC0002,067108,2015,29.2,28.1,27.3,22.3,19.4,17.5,16.2,18.8,21.0,26.9,28.0,29.7,23.7
IDCJAC0002,067108,2016,28.7,30.3,29.4,26.2,23.2,18.1,18.5,18.7,21.1,24.5,29.7,32.5,25.1
IDCJAC0002,067108,2017,33.7,31.9,26.1,23.5,20.8,17.9,18.3,19.3,24.1,25.8,26.0,31.8,24.9
IDCJAC0002,067108,2018,32.7,30.4,28.2,27.6,22.0,17.4,19.5,19.2,22.0,23.2,26.1,28.4,24.7
IDCJAC0002,067108,2019,35.1,30.4,28.0,25.2,21.9,18.2,18.8,19.7,23.0,26.3,29.9,31.8,25.7
IDCJAC0002,067108,2020,31.2,28.0,25.1,23.8,19.9,18.4,17.9,18.6,23.0,26.0,29.0,27.0,24.0
IDCJAC0002,067108,2021,29.4,27.4,25.6,24.2,20.4,17.4,17.5,20.4,22.9,24.4,23.1,27.1,23.3
IDCJAC0002,067108,2022,28.6,27.3,25.4,23.6,20.4,17.8,16.5,19.9,20.9,22.8,25.0,27.3,23.0
IDCJAC0002,067108,2023,29.0,30.2,30.2,23.8,20.1,18.3,20.0,21.2,25.7,27.3,27.6,30.9,25.4
IDCJAC0002,067108,2024,29.2,29.8,29.0,24.6,20.4,17.2,17.4,21.3,23.5,24.6,28.3,31.6,24.7
IDCJAC0002,067108,2025,29.9,30.7,null,null,null,null,null,null,null,null,null,null,null
