# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-03-19
#
# GRDC-No.:              5202145
# River:                 KOWMUNG RIVER
# Station:               HRS CEDAR FORD
# Country:               AU
# Latitude (DD):       -33.94734
# Longitude (DD):      150.24375
# Catchment area (km²):      713.0
# Altitude (m ASL):        28.34
# Next downstream station:      -
# Remarks:               
# Owner of original data: Australia - Bureau of Meteorology
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1968-05 - 2022-02
# No. of years:          55
# Last update:           2023-11-23
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 19644
# DATA
YYYY-MM-DD;hh:mm; Value
1968-05-19;--:--;      3.009
1968-05-20;--:--;      3.104
1968-05-21;--:--;      3.425
1968-05-22;--:--;      3.934
1968-05-23;--:--;      3.246
1968-05-24;--:--;      2.719
1968-05-25;--:--;      2.418
1968-05-26;--:--;      2.585
1968-05-27;--:--;      2.186
1968-05-28;--:--;      2.128
1968-05-29;--:--;      3.175
1968-05-30;--:--;      5.760
1968-05-31;--:--;      7.991
1968-06-01;--:--;      5.973
1968-06-02;--:--;      4.652
1968-06-03;--:--;      4.123
1968-06-04;--:--;      5.284
1968-06-05;--:--;      5.651
1968-06-06;--:--;      5.974
1968-06-07;--:--;     11.689
1968-06-08;--:--;      8.331
1968-06-09;--:--;      6.514
1968-06-10;--:--;      5.442
1968-06-11;--:--;      4.602
1968-06-12;--:--;      4.043
1968-06-13;--:--;      3.608
1968-06-14;--:--;      3.268
1968-06-15;--:--;      3.052
1968-06-16;--:--;      2.888
1968-06-17;--:--;      2.699
1968-06-18;--:--;      2.513
1968-06-19;--:--;      2.358
1968-06-20;--:--;      2.203
1968-06-21;--:--;      2.162
1968-06-22;--:--;      2.053
1968-06-23;--:--;      1.956
1968-06-24;--:--;      1.872
1968-06-25;--:--;      1.931
1968-06-26;--:--;      1.740
1968-06-27;--:--;      1.607
1968-06-28;--:--;      1.550
1968-06-29;--:--;      1.538
1968-06-30;--:--;      1.545
1968-07-01;--:--;      1.529
1968-07-02;--:--;      1.476
1968-07-03;--:--;      1.433
1968-07-04;--:--;      1.413
1968-07-05;--:--;      1.520
